,Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address (Administrative Location),City (Administrative Location),State (Administrative Location),Zip Code (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
6623,8409500207,THE SEAS,THE SEAS,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2020 N AVENUE OF THE STARS,LAKE BUENA VISTA,FL,32830,2020 N AVENUE OF THE STARS,LAKE BUENA VISTA,FL,32830.0,4075607688,28.38311,-81.53743,4.0,,12.0,3,,,,
6969,8401300263,GEORGIA AQUARIUM,GEORGIA AQUARIUM FOUNDATION INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,225 BAKER ST NW,ATLANTA,GA,30313,,,,,4045814000,33.76238,-84.39404,1.0,121.0,13.0,3,274284050,201312.0,3949305.0,3674450.0
7271,8409400590,SAPELO ISLAND NATIONAL ESTUARINE RESEARCH RESERVE,SAPELO ISLAND NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,TOWNSEND,GA,31331,,,,,,,,,,13.0,3,,,,
7453,8401500067,HONOLULU AQUARIUM SOCIETY,HONOLULU AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 235791,HONOLULU,HI,96823,,,,,8082254196,21.30418,-157.84398,1.0,3.0,15.0,6,311640963,201412.0,0.0,0.0
7559,8409500220,WAIKIKI AQUARIUM,WAIKIKI AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",UNIVERSITY OF HAWAII AT MANOA,2777 KALAKAUA AVENUE,HONOLULU,HI,96815,,,,,8089239741,21.26559,-157.82178,1.0,3.0,15.0,6,996000354,,,
7738,8401900407,EASTERN IOWA AQUARIUM ASSOCIATION,EASTERN IOWA AQUARIUM ASSOCIATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 2327,CEDAR RAPIDS,IA,52406,10260 MORRIS HILLS ROAD,TODDVILLE,IA,52406.0,,42.08057,-91.76898,4.0,113.0,19.0,4,421207367,201308.0,0.0,0.0
8275,8409400153,EAST IDAHO AQUARIUM,EAST IDAHO AQUARIUM CORPORATION,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,160 N 1ST W APT 56,REXBURG,ID,83440,,,,,,43.82945,-111.78658,4.0,65.0,16.0,6,462348241,,,
8298,8401600056,IDAHO AQUARIUM,IDAHO AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,64 N COLE RD,BOISE,ID,83704,,,,,2083751932,43.6056,-116.27411,1.0,1.0,16.0,6,260700095,201312.0,1051159.0,1049193.0
8490,8401700456,AQUARIUM FISH SANCTUARY,AQUARIUM FISH SANCTUARY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3652 SOUTH HAMILTON,CHICAGO,IL,60609,,,,,,41.82796,-87.67896,1.0,31.0,17.0,4,263337232,201412.0,0.0,0.0
8653,8401701268,CHICAGO MARINE AQUARIUM SOCIETY,CHICAGO MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2268 WOODVIEW LANE,PARK RIDGE,IL,60068,,,,,,42.0459,-87.84935,2.0,31.0,17.0,4,454088302,201312.0,0.0,0.0
9082,8409500092,JOHN G. SHEDD AQUARIUM,JOHN G. SHEDD AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1200 S LAKE SHORE DRIVE,CHICAGO,IL,60605,1200 S LAKE SHORE DRIVE,CHICAGO,IL,60605.0,3129392438,41.86668,-87.61907,1.0,31.0,17.0,4,,,,
9310,8401700330,NATIONAL MISSISSIPPI RIVER MUSEUM & AQUARIUM,MISSISSIPPI RIVER MUSEUM &INTERPRETIVE CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,120 MAIN STREET,GRAND TOWER,IL,62942,,,,,,37.62397,-89.49824,4.0,77.0,17.0,4,205305149,201412.0,0.0,0.0
9554,8401700558,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,SHEDD AQUARIUM SOCIETY,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1200 S LAKE SHORE DR,CHICAGO,IL,60605,,,,,3129392438,41.8675,-87.61905,1.0,31.0,17.0,4,362167918,201312.0,74041834.0,63545279.0
11319,8409500131,NEWPORT AQUARIUM,NEWPORT AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,ONE AQUARIUM WAY,NEWPORT,KY,41071,ONE AQUARIUM WAY,NEWPORT,KY,41071.0,8592617444,39.09066,-84.49425,2.0,37.0,21.0,3,,,,
11463,8409500013,AUDUBON AQUARIUM OF THE AMERICAS,AUDUBON AQUARIUM OF THE AMERICAS,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1 CANAL STREET,NEW ORLEANS,LA,70130,1 CANAL STREET,NEW ORLEANS,LA,70130.0,5045653033,29.95018,-90.06427,4.0,71.0,22.0,3,,,,
12497,8402500843,NEW ENGLAND AQUARIUM MARINE LIFE CENTER,NEW ENGLAND AQUARIUM MARINE LIFE CENTER INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,177 MILK ST,BOSTON,MA,2109,,,,,6179735206,42.35839,-71.05321,1.0,25.0,25.0,1,223334951,201312.0,10000.0,10000.0
12791,8409400737,WAQUOIT BAY NATIONAL ESTUARINE RESEARCH RESERVE,WAQUOIT BAY NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 3522,WAQUOIT,MA,2356,,,,,,41.627,-70.58628,2.0,1.0,25.0,1,,,,
12993,8409400104,CHESAPEAKE BAY VIRGINIA NATIONAL ESTUARINE RESEARCH RESERVE,CHESAPEAKE BAY VIRGINIA NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,580 TAYLOR AVE,ANNAPOLIS,MD,21401,,,,,,38.98299,-76.50539,2.0,3.0,24.0,2,,,,
13281,8402400673,NATIONAL AQUARIUM,NATIONAL AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,501 E PRATT ST,BALTIMORE,MD,21202,501 E PRATT ST,BALTIMORE,MD,21202.0,7178170948,39.2866,-76.60875,1.0,510.0,24.0,2,,,,
13651,8402300441,GULF OF MAINE AQUARIUM,GULF OF MAINE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,97A EXCHANGE ST,PORTLAND,ME,4101,350 COMMERCIAL ST,PORTLAND,ME,4101.0,2077722321,43.65408,-70.25538,1.0,5.0,23.0,1,237002794,,,
13652,8402300273,GULF OF MAINE RESEARCH INSTITUTE,GULF OF MAINE RESEARCH INSTITUTE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,350 COMMERCIAL ST,PORTLAND,ME,4101,,,,,2077722321,43.65408,-70.25538,1.0,5.0,23.0,1,10504905,201312.0,11288302.0,8248729.0
13977,8409400744,WELLS NATIONAL ESTUARINE RESEARCH RESERVE,WELLS NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,342 LAUDHOLM FARM RD,WELLS,ME,4090,,,,,,43.34062,-70.55512,4.0,31.0,23.0,1,,,,
14354,8402600742,GREAT LAKES AQUARIUM,GREAT LAKES AQUARIUM & RES CENTER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 1727,MUSKEGON,MI,49443,353 HARBOR DRIVE,MUSKEGON,MI,49443.0,2317265550,43.21134,-86.22867,2.0,,26.0,4,382960962,,,
14367,8402600325,GREATER DETROIT AQUARIUM SOCIETY,GREATER DETROIT AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2101 N VERMONT AVE,ROYAL OAK,MI,48073,,,,,7346768564,42.5077,-83.12935,2.0,125.0,26.0,4,237328721,201405.0,0.0,0.0
14580,8402600961,MARINELIFE AQUARIUM SOCIETY OF MICHIGAN,MARINELIFE AQUARIUM SOCIETY OF MICHIGAN,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,204 S UNION ST,READING,MI,49274,,,,,,42.62511,-83.37808,2.0,125.0,26.0,4,383724063,201412.0,0.0,0.0
15413,8402700524,MINNESOTA AQUARIUM SOCIETY,MINNESOTA AQUARIUM SOCIETY INCORPORATED,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,965 BEACON LANE,APPLE VALLEY,MN,55124,,,,,,44.72829,-93.23436,2.0,37.0,27.0,4,411809731,,,
15519,8402700193,PANDORAS AQUARIUM,PANDORAS AQUARIUM INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3109 W 50TH ST STE 320,MINNEAPOLIS,MN,55410,,,,,6122344204,44.9123,-93.31933,1.0,53.0,27.0,4,261102950,201406.0,0.0,0.0
15659,8402700198,TWIN CITIES MARINE AQUARIUM SOCIETY,TWIN CITIES MARINE AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2751 HENNEPIN AVENUE SOUTH PMB 277,MINNEAPOLIS,MN,55408,,,,,,44.95261,-93.2977,1.0,53.0,27.0,4,262517512,201112.0,0.0,0.0
15841,8402900100,CHILDREN'S AQUARIUM,CHILDREN'S AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,701 N 15TH ST,SAINT LOUIS,MO,63103,,,,,3146479594,38.63354,-90.20002,1.0,510.0,29.0,4,,,,
16337,8409500180,SEA LIFE AQUARIUM - KANSAS CITY,SEA LIFE AQUARIUM - KANSAS CITY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,2475 GRAND BLVD,KANSAS CITY,MO,64108,2475 GRAND BLVD,KANSAS CITY,MO,64108.0,8164714386,39.08279,-94.58172,1.0,95.0,29.0,4,,,,
16450,8402900320,WILD CANID SURVIVAL AND RESEARCH CENTER,WILD CANID SURVIVAL & RESEARCH CENTER INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,PO BOX 760,EUREKA,MO,63025,6750 TYSON VALLEY RD,EUREKA,MO,63025.0,6369385900,38.52119,-90.60302,4.0,189.0,29.0,4,430996361,201312.0,923522.0,902939.0
16456,8402900001,WORLD AQUARIUM,ST LOUIS AQUACENTER INC,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,701 NORTH 15TH STREET 2ND FLOOR,ST LOUIS,MO,63103,,,,,3146476011,38.63354,-90.20002,1.0,510.0,29.0,4,237136059,201406.0,483141.0,479182.0
16525,8409400221,GRAND BAY NATIONAL ESTUARINE RESEARCH RESERVE,GRAND BAY NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,MOSS POINT,MS,39562,,,,,,,,,,28.0,3,,,,
16558,8409500087,J. L. SCOTT MARINE EDUCATION CENTER AND AQUARIUM,UNIVERSITY OF SOUTHERN MISSISSIPPI,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",UNIVERSITY OF SOUTHERN MISSISSIPPI,118 COLLEGE DRIVE # 0001,BILOXI,MS,39406,,,,,,31.33018,-89.33893,4.0,35.0,28.0,3,646000818,201406.0,,
17490,8409500132,NORTH CAROLINA AQUARIUM AT FORT FISHER,NORTH CAROLINA AQUARIUM AT FORT FISHER,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,900 LOGGERHEAD ROAD,KURE BEACH,NC,28449,900 LOGGERHEAD ROAD,KURE BEACH,NC,28449.0,9104588257,33.96286,-77.92718,,129.0,37.0,3,,,,
17491,8409500133,NORTH CAROLINA AQUARIUM AT PINE KNOLL SHORES,NORTH CAROLINA AQUARIUM AT PINE KNOLL SHORES,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1 ROOSEVELT DRIVE,PINE KNOLL SHORES,NC,28512,1 ROOSEVELT DRIVE,PINE KNOLL SHORES,NC,28512.0,2522474003,34.69692,-76.82176,3.0,31.0,37.0,3,,,,
17492,8409500134,NORTH CAROLINA AQUARIUM ON ROANOKE ISLAND,NORTH CAROLINA AQUARIUM ON ROANOKE ISLAND,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,374 AIRPORT ROAD,MANTEO,NC,27954,374 AIRPORT ROAD,MANTEO,NC,27954.0,2524733494,35.91945,-75.70493,3.0,55.0,37.0,3,,,,
17493,8403700546,NORTH CAROLINA AQUARIUM SOCIETY,THE NORTH CAROLINA AQUARIUM SOCIETY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3125 POPLARWOOD COURT,RALEIGH,NC,27604,,,,,9197332290,35.82075,-78.58379,1.0,,37.0,3,561512990,201312.0,12011943.0,6590439.0
17514,8409400515,NORTH CAROLINA NATIONAL ESTUARINE RESEARCH RESERVE,NORTH CAROLINA NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,983 W KITTY HAWK RD,KITTY HAWK,NC,27949,,,,,,36.06662,-75.69304,4.0,55.0,37.0,3,,,,
18273,8409500141,OMAHA'S HENRY DOORLY ZOO & AQUARIUM,OMAHA'S HENRY DOORLY ZOO & AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3701 S 10TH ST,OMAHA,NE,68107,3701 S 10TH ST,OMAHA,NE,68107.0,4027338401,41.22416,-95.92949,1.0,55.0,31.0,5,,,,
18498,8409400227,GREAT BAY NATIONAL ESTUARINE RESEARCH RESERVE,GREAT BAY NATIONAL ESTUARINE RESEARCH RESERVE,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,89 DEPOT RD,GREENLAND,NH,3840,,,,,,43.05403,-70.89625,2.0,15.0,33.0,1,,,,
18749,8409500002,ADVENTURE AQUARIUM,ADVENTURE AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,1 RIVERSIDE DRIVE,CAMDEN,NJ,8103,1 RIVERSIDE DRIVE,CAMDEN,NJ,8103.0,8563653300,39.94323,-75.13012,2.0,7.0,34.0,2,,,,
19065,8409500090,JENKINSON'S AQUARIUM,JENKINSON'S AQUARIUM,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,300 OCEAN AVENUE,POINT PLEASANT BEACH,NJ,8742,300 OCEAN AVENUE,POINT PLEASANT BEACH,NJ,8742.0,7328991659,40.09421,-74.03687,2.0,29.0,34.0,2,,,,
19951,8409500188,SHARK REEF AQUARIUM AT MANDALAY BAY,SHARK REEF AQUARIUM AT MANDALAY BAY,,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,3950 LAS VEGAS BLVD SOUTH,LAS VEGAS,NV,89119,3950 LAS VEGAS BLVD SOUTH,LAS VEGAS,NV,89119.0,7026324555,36.11031,-115.15999,4.0,3.0,32.0,6,,,,
